timestamp,portfolio_value,cash
2026-07-20T13:51:29.870627,1000592.53,796901.02
2026-07-20T13:51:40.299041,1000592.53,796901.02
2026-07-20T13:51:50.722107,1000746.24,796901.02
2026-07-20T13:52:01.140639,1000746.24,796901.02
2026-07-20T13:52:11.574921,1000746.27,796901.01
2026-07-20T13:52:27.252549,1000746.27,799731.85
2026-07-20T13:52:37.676605,1000746.27,799731.85
2026-07-20T13:52:48.103204,1000746.23,799731.84
2026-07-20T13:57:23.959650,1000740.36,799737.49
2026-07-20T13:57:38.058834,1000740.36,799737.49
2026-07-20T13:57:51.162174,1000740.36,799732.4
2026-07-20T13:58:01.579027,1000740.36,799732.4
2026-07-20T13:58:11.995199,1000889.45,799732.4
2026-07-20T13:58:22.411380,1000889.45,799732.4
2026-07-20T13:58:32.850308,1000889.45,799732.4
2026-07-20T13:58:47.587476,1000889.45,799737.46
2026-07-20T13:58:58.037122,1000889.45,799737.46
2026-07-20T13:59:08.461782,1000889.45,799737.46
2026-07-20T13:59:18.877867,1000889.43,799737.47
2026-07-20T13:59:29.307443,1000889.43,799737.47
2026-07-20T13:59:48.333173,1000889.43,799737.47
2026-07-20T13:59:58.764522,1000889.43,799737.47
2026-07-20T14:00:09.235398,1000889.43,799737.47
2026-07-20T14:00:19.676520,1000889.32,799737.47
2026-07-20T14:00:30.105065,1000883.33,799737.47
2026-07-20T14:00:49.492507,1000883.33,799737.47
2026-07-20T14:00:59.921309,1000883.33,799737.47
2026-07-20T14:01:10.336950,1000883.33,799737.47
2026-07-20T14:01:20.774399,1000883.33,799737.47
2026-07-20T14:01:31.197382,1000883.33,799737.47
2026-07-20T14:01:53.915184,1000883.31,799737.46
2026-07-20T14:02:24.512797,1000883.19,849704.31
2026-07-20T14:02:34.933767,1000883.19,849704.31
2026-07-20T14:02:45.365867,1000881.24,849704.31
2026-07-20T14:02:55.788787,1000867.51,849704.31
2026-07-20T14:03:06.205567,1000866.35,849704.3
2026-07-20T14:03:16.640847,1000866.35,849704.3
2026-07-20T14:03:27.072915,1000866.35,849704.3
2026-07-20T14:03:37.506325,1000863.0,849704.3
2026-07-20T14:03:47.569351,1000471.89,849704.3
2026-07-20T14:04:21.791214,1000471.89,849626.79
2026-07-20T14:04:32.226334,1000471.89,849626.79
2026-07-20T14:04:42.662079,1000471.89,849626.79
2026-07-20T14:04:53.093966,1000471.89,849626.79
2026-07-20T14:05:03.520875,1000471.89,849626.79
2026-07-20T14:05:13.949187,1000579.34,849626.79
2026-07-20T14:05:24.375863,1000579.34,849626.79
2026-07-20T14:05:34.830442,1000554.36,849626.79
2026-07-20T14:05:45.256944,1000554.36,849626.79
2026-07-20T14:06:21.396477,1000573.45,849564.32
2026-07-20T14:06:32.044652,1000573.52,849564.31
2026-07-20T14:06:42.495567,1000573.52,849564.31
2026-07-20T14:06:52.963141,1000573.52,849564.31
2026-07-20T14:07:03.402197,1000573.52,849564.31
2026-07-20T14:07:13.836122,1000573.52,849564.31
2026-07-20T14:09:24.023555,1000597.02,849564.31
2026-07-20T14:10:00.510991,1000597.02,849564.31
2026-07-20T14:10:10.919012,1000597.02,849564.31
2026-07-20T14:10:21.339225,1000597.02,849564.31
2026-07-20T14:10:31.800093,1000597.02,849564.31
2026-07-20T14:10:42.223090,1000704.69,849564.31
2026-07-20T14:10:52.652462,1000704.69,849564.31
2026-07-20T14:12:56.777857,1000704.69,849564.31
2026-07-20T14:13:24.608828,1000704.69,849564.31
2026-07-20T14:13:35.037382,1000704.69,849564.31
2026-07-20T14:13:45.474161,1000704.69,849564.31
2026-07-20T14:13:55.909294,1000704.69,849564.31
2026-07-20T14:14:06.335399,1000704.69,849564.31
2026-07-20T14:14:16.765351,1000704.69,849564.31
2026-07-20T14:14:27.207421,1000704.69,849564.31
2026-07-20T14:14:37.632027,1000704.69,849564.31
2026-07-20T14:14:48.062180,1000704.69,849564.31
2026-07-20T14:15:24.454298,1000704.69,849564.31
2026-07-20T14:15:34.887278,1000704.69,849564.31
2026-07-20T14:15:45.311170,1000704.69,849564.31
2026-07-20T14:15:55.742542,1000704.69,849564.31
2026-07-20T14:16:06.181523,1000704.69,849564.31
2026-07-20T14:16:16.614145,1000704.69,849564.31
2026-07-20T14:16:27.061610,1000704.69,849564.31
2026-07-20T14:16:37.490153,1000704.69,849564.31
2026-07-20T14:16:47.943915,1000704.69,849564.31
2026-07-20T14:17:26.584658,1000473.4,849564.31
2026-07-20T14:17:37.035586,1000473.4,849564.31
2026-07-20T14:17:47.479961,1000473.4,849564.31
2026-07-20T14:17:57.925694,1000473.4,849564.31
2026-07-20T14:18:08.375439,1000473.4,849564.31
2026-07-20T14:18:18.872194,1000473.4,849564.31
2026-07-20T14:18:29.315384,1000473.4,849564.31
2026-07-20T14:18:39.764065,1000473.4,849564.31
2026-07-20T14:18:50.188414,1000463.98,849564.31
2026-07-20T14:19:25.274468,1000463.98,849564.31
2026-07-20T14:19:35.776984,1000447.42,849564.31
2026-07-20T14:19:46.199843,1000447.42,849564.31
2026-07-20T14:19:56.634290,1000447.42,849564.31
2026-07-20T14:20:07.064185,1000447.42,849564.31
2026-07-20T14:20:17.497631,1000447.42,849564.31
2026-07-20T14:20:27.925357,1000447.42,849564.31
2026-07-20T14:20:38.360575,1000447.42,849564.31
2026-07-20T14:20:48.785399,1000447.42,849564.31
2026-07-20T14:21:25.477886,1000447.42,849564.31
2026-07-20T14:21:35.920700,1000447.42,849564.31
2026-07-20T14:21:46.367892,1000447.42,849564.31
2026-07-20T14:21:56.886012,1000447.42,849564.31
2026-07-20T14:22:07.318027,1000397.17,849564.31
2026-07-20T14:22:17.804930,1000397.17,849564.31
2026-07-20T14:22:28.235266,1000397.17,849564.31
2026-07-20T14:22:38.688691,1000397.17,849564.31
2026-07-20T14:22:49.122012,1000465.54,849564.31
2026-07-20T14:23:26.087797,1000465.54,849564.31
2026-07-20T14:23:36.510884,1000465.54,849564.31
2026-07-20T14:23:46.942467,1000465.54,849564.31
2026-07-20T14:23:57.385628,1000465.54,849564.31
2026-07-20T14:24:07.822527,1000465.54,849564.31
2026-07-20T14:24:18.254120,1000465.54,849564.31
2026-07-20T14:24:28.760300,1000465.54,849564.31
2026-07-20T14:24:39.213630,1000465.54,849564.31
2026-07-20T14:24:49.635983,1000465.54,849564.31
2026-07-20T14:25:26.650891,1000465.54,849564.31
2026-07-20T14:25:37.098427,1000465.54,849564.31
2026-07-20T14:25:47.582049,1000465.54,849564.31
2026-07-20T14:25:58.027472,1000465.54,849564.31
2026-07-20T14:26:08.489060,1000465.54,849564.31
2026-07-20T14:26:18.914400,1000465.54,849564.31
2026-07-20T14:26:29.375230,1000465.54,849564.31
2026-07-20T14:26:39.872703,1000465.54,849564.31
2026-07-20T14:26:50.315869,1000465.54,849564.31
2026-07-20T14:27:29.848481,1000465.54,849564.31
2026-07-20T14:27:40.270225,1000465.54,849564.31
2026-07-20T14:27:50.709365,1000298.1,849564.31
2026-07-20T14:28:01.143435,1000298.1,849564.31
2026-07-20T14:28:11.583040,1000298.1,849564.31
2026-07-20T14:28:22.030408,1000298.1,849564.31
2026-07-20T14:28:32.461712,1000298.1,849564.31
2026-07-20T14:28:42.887997,1000298.1,849564.31
2026-07-20T14:28:53.313596,1000298.1,849564.31
2026-07-20T14:29:28.352711,1000298.1,849564.31
2026-07-20T14:29:38.795233,1000298.1,849564.31
2026-07-20T14:29:49.236704,1000298.1,849564.31
2026-07-20T14:29:59.667775,1000298.1,849564.31
2026-07-20T14:30:10.106500,1000298.1,849564.31
2026-07-20T14:30:20.561791,1000298.1,849564.31
2026-07-20T14:30:31.017543,1000298.1,849564.31
2026-07-20T14:30:41.450641,1000298.1,849564.31
2026-07-20T14:30:51.887157,1000298.1,849564.31
2026-07-20T14:31:29.312444,1000298.1,849564.31
2026-07-20T14:31:39.781653,1000298.1,849564.31
2026-07-20T14:31:50.293244,1000298.1,849564.31
2026-07-20T14:32:00.732429,1000298.1,849564.31
2026-07-20T14:32:11.175749,1000298.1,849564.31
2026-07-20T14:32:21.621566,1000298.1,849564.31
2026-07-20T14:32:32.053827,1000298.1,849564.31
2026-07-20T14:32:42.489611,1000298.1,849564.31
2026-07-20T14:32:52.932529,1000298.1,849564.31
2026-07-20T14:33:28.924010,1000298.1,849564.31
2026-07-20T14:33:39.360066,1000298.1,849564.31
2026-07-20T14:33:49.791721,1000281.47,849564.31
2026-07-20T14:34:00.231667,1000281.47,849564.31
2026-07-20T14:34:10.670410,1000358.96,849564.31
2026-07-20T14:34:21.089079,1000358.96,849564.31
2026-07-20T14:34:31.504055,1000358.96,849564.31
2026-07-20T14:34:41.922608,1000358.96,849564.31
2026-07-20T14:34:52.350812,1000358.96,849564.31
2026-07-20T14:35:28.600940,1000358.96,849564.31
2026-07-20T14:35:39.023932,1000358.96,849564.31
2026-07-20T14:35:49.445990,1000358.96,849564.31
2026-07-20T14:35:59.863110,1000358.96,849564.31
